symbol,time,open,high,low,close,volume
C-BTC-106500-010625,2025-05-31T00:00:00+00:00,43,43,43,43,260
P-BTC-102000-020625,2025-05-31T00:00:00+00:00,455,455,455,455,1
P-BTC-104400-010625,2025-05-30T00:00:00+00:00,1202,1202,1202,1202,26
P-BTC-104400-010625,2025-05-29T00:00:00+00:00,349,390,349,390,26
P-BTC-101200-020625,2025-05-31T00:00:00+00:00,311,311,311,311,1
C-BTC-104600-020625,2025-05-31T00:00:00+00:00,419,419,419,419,50
P-BTC-103800-010625,2025-05-31T00:00:00+00:00,604,604,604,604,1
P-BTC-102600-010625,2025-05-31T00:00:00+00:00,191,191,175,175,2000
C-BTC-104800-010625,2025-05-31T00:00:00+00:00,123,123,122,122,2000
C-BTC-104800-010625,2025-05-30T00:00:00+00:00,840,840,647.1,647.1,2200
C-BTC-103400-010625,2025-05-31T00:00:00+00:00,575,859.9,575,859.9,6
C-BTC-104600-010625,2025-05-31T00:00:00+00:00,201,201,199,199,3000
C-BTC-109200-010625,2025-05-29T00:00:00+00:00,244,244,244,244,10
C-BTC-106200-020625,2025-05-31T00:00:00+00:00,153,153,153,153,10
P-BTC-104000-010625,2025-05-31T00:00:00+00:00,641.6,641.6,641.6,641.6,220
P-BTC-104000-010625,2025-05-30T00:00:00+00:00,470,470,470,470,220
P-BTC-102800-010625,2025-05-31T00:00:00+00:00,210,210,210,210,2000
C-BTC-105200-010625,2025-05-31T00:00:00+00:00,160,169,160,169,387
C-BTC-104000-010625,2025-05-31T00:00:00+00:00,292,467.9,292,467.9,2202
P-BTC-102000-010625,2025-05-31T00:00:00+00:00,115,115,111,111,3834
C-BTC-103200-010625,2025-05-31T00:00:00+00:00,1021.9,1021.9,1021.9,1021.9,1
C-BTC-103200-010625,2025-05-30T00:00:00+00:00,3137,3137,3137,3137,0
C-BTC-103200-010625,2025-05-29T00:00:00+00:00,3137,3137,3137,3137,10
P-BTC-102200-010625,2025-05-31T00:00:00+00:00,128,128,128,128,1173
P-BTC-103400-020625,2025-05-31T00:00:00+00:00,896,896,850,850,34
P-BTC-103400-010625,2025-05-31T00:00:00+00:00,466.9,466.9,466.9,466.9,5
P-BTC-100800-020625,2025-05-31T00:00:00+00:00,308,308,308,308,10
P-BTC-109200-010625,2025-05-31T00:00:00+00:00,5930,5930,5861,5861,2
P-BTC-109200-010625,2025-05-30T00:00:00+00:00,3160,3160,3160,3160,2
P-BTC-109200-010625,2025-05-29T00:00:00+00:00,3280,3280,3280,3280,10
C-BTC-103600-010625,2025-05-31T00:00:00+00:00,581,666,581,666,64
C-BTC-103800-010625,2025-05-31T00:00:00+00:00,599,599,599,599,1
P-BTC-106200-020625,2025-05-31T00:00:00+00:00,2986.5,2986.5,2986.5,2986.5,10
P-BTC-101600-010625,2025-05-31T00:00:00+00:00,130,130,59,59,128
C-BTC-106200-010625,2025-05-30T00:00:00+00:00,1050,1050,1050,1050,2
C-BTC-109500-010625,2025-05-30T00:00:00+00:00,51,51,51,51,10
C-BTC-109500-010625,2025-05-29T00:00:00+00:00,330.1,330.1,330.1,330.1,10
C-BTC-112000-010625,2025-05-30T00:00:00+00:00,33,33,33,33,16
C-BTC-110000-010625,2025-05-29T00:00:00+00:00,276.1,276.1,276.1,276.1,9
C-BTC-104400-010625,2025-05-31T00:00:00+00:00,222,242,222,242,4000
C-BTC-109600-010625,2025-05-30T00:00:00+00:00,48,48,48,48,26
C-BTC-109600-010625,2025-05-29T00:00:00+00:00,347,347,327,327,26
P-BTC-104800-010625,2025-05-30T00:00:00+00:00,949,949,745.1,765.1,2300
P-BTC-104800-010625,2025-05-29T00:00:00+00:00,438,438,438,438,100
C-BTC-104200-010625,2025-05-31T00:00:00+00:00,294,294,294,294,2000
C-BTC-104600-030625,2025-05-31T00:00:00+00:00,1011,1011,1011,1011,4
C-BTC-106600-010625,2025-05-30T00:00:00+00:00,171.1,171.1,71,71,2000
C-BTC-100800-020625,2025-05-31T00:00:00+00:00,2751,2751,2751,2751,10
C-BTC-106000-010625,2025-05-31T00:00:00+00:00,62,62,62,62,4
P-BTC-103600-010625,2025-05-31T00:00:00+00:00,368,401,368,400,13
P-BTC-103200-010625,2025-05-31T00:00:00+00:00,259,282,259,282,4000
P-BTC-103200-010625,2025-05-30T00:00:00+00:00,489,489,264,264,340
P-BTC-103200-010625,2025-05-29T00:00:00+00:00,304,304,304,304,10
P-BTC-103000-010625,2025-05-31T00:00:00+00:00,289,289,227,227,4000
P-BTC-103000-020625,2025-05-31T00:00:00+00:00,743,743,743,743,1
